Homolog, Bit Score
1, 59
1, 0
1, 0
1, 55
1, 152
1, 203
1, 139
1, 138
1, 73
1, 135
1, 0
1, 144
1, 232
1, 131
1, 130
1, 146
1, 116
1, 171
1, 289
1, 293
1, 121
1, 116
1, 277
1, 117
1, 138
1, 268
1, 114
1, 153
1, 129
1, 146
1, 133
1, 0
1, 244
1, 145
1, 0
1, 0
1, 120
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 151
1, 147
1, 179
1, 178
1, 128
1, 181
1, 161
1, 164
1, 134
1, 113
1, 157
1, 122
1, 158
1, 153
1, 104
1, 150
1, 158
1, 158
1, 0
1, 191
1, 290
1, 283
1, 112
1, 129
1, 280
1, 134
1, 157
1, 258
1, 120
1, 160
1, 151
1, 0
1, 195
1, 164
1, 158
1, 133
1, 129
1, 169
1, 137
1, 144
1, 163
1, 121
1, 322
1, 143
1, 171
1, 176
1, 172
1, 113
1, 136
1, 166
1, 144
1, 310
1, 151
1, 122
1, 0
1, 176
1, 176
1, 163
1, 116
1, 135
1, 166
1, 138
1, 288
1, 149
1, 132
1, 0
1, 118
1, 0
1, 0
1, 0
1, 117
1, 0
1, 131
1, 126
1, 0
1, 211
1, 195
1, 147
1, 139
1, 205
1, 139
1, 179
1, 201
1, 120
1, 403
1, 128
1, 142
1, 457
1, 146
1, 163
1, 309
1, 122
1, 119
1, 137
1, 398
1, 138
1, 157
1, 297
1, 122
1, 0
1, 131
1, 100
1, 114
1, 123
1, 0
1, 128
1, 482
1, 121
1, 129
1, 263
1, 134
1, 153
1, 302
1, 116
1, 125
1, 136
1, 283
1, 149
1, 107
1, 117
1, 0
1, 0
1, 0
1, 0
1, 0
1, 83
1, 0
1, 96
1, 96
1, 68
1, 0
1, 0
1, 0
1, 0
1, 83
1, 54
1, 0
1, 0
1, 305
1, 0
1, 119
1, 0
1, 0
1, 0
1, 0
1, 398
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 494
1, 0
1, 0
1, 70
1, 0
1, 79
1, 0
1, 140
1, 0
1, 0
1, 0
1, 0
1, 0
1, 82
1, 0
1, 0
1, 0
1, 0
1, 126
1, 0
1, 0
1, 0
1, 0
1, 119
1, 0
1, 87
1, 0
1, 0
1, 0
1, 144
1, 0
1, 0
1, 85
1, 0
1, 0
1, 87
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 72
1, 0
1, 0
1, 0
1, 120
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 89
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 389
1, 0
1, 0
1, 0
1, 0
1, 0
1, 98
1, 0
1, 0
1, 423
1, 0
1, 0
1, 0
1, 0
1, 299
1, 0
1, 0
1, 0
1, 163
1, 78
1, 101
1, 0
1, 0
1, 0
1, 0
1, 57
1, 0
1, 0
1, 0
1, 0
1, 0
1, 51
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 66
1, 0
1, 0
1, 0
1, 89
1, 0
1, 89
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 83
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 74
1, 273
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 192
1, 194
1, 191
1, 190
1, 334
1, 325
1, 332
1, 323
1, 360
1, 319
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 212
1, 0
1, 136
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 144
1, 0
1, 0
1, 0
1, 113
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 129
1, 0
1, 0
1, 72
1, 0
1, 0
1, 131
1, 144
1, 0
1, 106
1, 169
1, 0
1, 0
1, 149
1, 92
1, 0
1, 0
1, 0
1, 0
1, 0
1, 214
1, 0
1, 0
1, 0
1, 0
1, 272
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 174
1, 0
1, 0
1, 304
1, 302
1, 0
1, 295
1, 0
1, 0
1, 0
1, 0
1, 0
1, 315
1, 376
1, 0
1, 379
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 70
1, 0
1, 0
1, 0
1, 175
1, 0
1, 0
1, 416
1, 401
1, 0
1, 420
1, 243
1, 205
1, 218
1, 0
1, 0
1, 70
1, 0
1, 213
1, 0
1, 0
1, 218
1, 0
1, 310
1, 306
1, 0
1, 0
1, 85
1, 0
1, 316
1, 0
1, 0
1, 315
1, 0
1, 413
1, 0
1, 0
1, 85
1, 0
1, 377
1, 0
1, 0
1, 346
1, 0
1, 0
1, 0
1, 60
1, 0
1, 358
1, 0
1, 0
1, 349
1, 0
1, 325
1, 0
1, 319
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 368
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 74
1, 181
1, 178
1, 82
1, 175
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 372
1, 0
1, 505
1, 0
1, 403
1, 79
1, 403
1, 0
1, 133
1, 976
1, 143
1, 319
1, 412
1, 500
1, 472
1, 466
1, 500
1, 494
1, 690
1, 690
1, 490
1, 496
1, 506
1, 1151
1, 953
1, 513
1, 500
1, 253
1, 0
1, 193
1, 0
1, 380
1, 105
1, 617
1, 332
1, 374
1, 296
1, 0
1, 176
1, 204
1, 197
1, 105
1, 247
1, 240
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 188
1, 195
1, 112
1, 182
1, 192
1, 204
1, 102
1, 218
1, 198
1, 102
1, 215
1, 205
1, 109
1, 101
1, 246
1, 1064
1, 465
1, 84
1, 0
1, 396
1, 84
1, 391
1, 378
1, 0
1, 389
1, 0
1, 0
1, 364
1, 0
1, 0
1, 0
1, 0
1, 0
1, 401
1, 86
1, 391
1, 376
1, 0
1, 381
1, 0
1, 0
1, 357
1, 0
1, 71
1, 0
1, 392
1, 0
1, 0
1, 0
1, 0
1, 297
1, 0
1, 0
1, 0
1, 0
1, 285
1, 0
1, 0
1, 0
1, 0
1, 88
1, 0
1, 299
1, 0
1, 0
1, 0
1, 0
1, 300
1, 0
1, 0
1, 0
1, 342
1, 324
1, 0
1, 330
1, 65
1, 73
1, 336
1, 0
1, 71
1, 63
1, 0
1, 0
1, 0
1, 0
1, 0
1, 141
1, 0
1, 0
1, 164
1, 146
1, 717
1, 60
1, 577
1, 0
1, 0
1, 550
1, 55
1, 0
1, 0
1, 63
1, 569
1, 0
1, 0
1, 537
1, 61
1, 0
1, 0
1, 0
1, 0
1, 0
1, 102
1, 579
1, 0
1, 0
1, 0
1, 0
1, 562
1, 66
1, 0
1, 0
1, 584
1, 0
1, 0
1, 316
1, 317
1, 0
1, 0
1, 317
1, 324
1, 0
1, 0
1, 0
1, 0
1, 0
1, 540
1, 0
1, 113
1, 101
1, 157
1, 0
1, 0
1, 0
1, 109
1, 170
1, 0
1, 0
1, 0
1, 0
1, 318
1, 0
1, 0
1, 0
1, 493
1, 187
1, 0
1, 0
1, 0
1, 674
1, 191
1, 183
1, 0
1, 0
1, 0
1, 493
1, 177
1, 0
1, 0
1, 0
1, 184
1, 364
1, 0
1, 528
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 178
1, 363
1, 176
1, 0
1, 95
1, 135
1, 103
1, 0
1, 262
1, 235
1, 263
1, 0
1, 0
1, 0
1, 289
1, 483
1, 288
1, 349
1, 107
1, 153
1, 104
1, 148
1, 0
1, 812
1, 185
1, 579
1, 179
1, 597
1, 162
1, 0
1, 138
1, 141
1, 389
1, 168
1, 167
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 159
1, 144
1, 0
1, 0
1, 0
1, 0
1, 102
1, 138
1, 0
1, 181
1, 196
1, 0
1, 129
1, 223
1, 168
1, 479
1, 708
1, 708
1, 1000
1, 475
1, 502
1, 456
1, 479
1, 513
1, 551
1, 684
1, 515
1, 709
1, 474
1, 476
1, 225
1, 240
1, 237
1, 375
1, 383
1, 661
1, 271
1, 170
1, 240
1, 250
1, 146
1, 246
1, 241
1, 181
1, 184
1, 499
1, 528
1, 169
1, 0
1, 55
1, 0
1, 0
1, 0
1, 156
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 51
1, 0
1, 0
1, 0
1, 130
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 314
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 130
1, 0
1, 0
1, 75
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 79
1, 0
1, 81
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 114
1, 87
1, 100
1, 87
1, 0
1, 109
