Homolog, Bit Score
1, 0
1, 0
1, 559
1, 0
1, 0
1, 0
1, 0
1, 0
1, 65
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 133
1, 119
1, 113
1, 139
1, 84
1, 0
1, 0
1, 0
1, 142
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 76
1, 0
1, 236
1, 0
1, 0
1, 0
1, 235
1, 0
1, 0
1, 0
1, 287
1, 394
1, 288
1, 510
1, 327
1, 524
1, 314
1, 538
1, 287
1, 518
1, 273
1, 530
1, 282
1, 550
1, 256
1, 488
1, 248
1, 395
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 129
1, 164
1, 270
1, 299
1, 268
1, 304
1, 268
1, 165
1, 239
1, 0
1, 0
1, 262
1, 0
1, 0
1, 0
1, 286
1, 0
1, 0
1, 272
1, 0
1, 0
1, 0
1, 305
1, 0
1, 0
1, 278
1, 0
1, 0
1, 106
1, 306
1, 124
1, 0
1, 280
1, 0
1, 0
1, 0
1, 290
1, 0
1, 0
1, 285
1, 0
1, 0
1, 102
1, 308
1, 0
1, 0
1, 0
1, 86
1, 0
1, 0
1, 0
1, 88
1, 0
1, 0
1, 107
1, 0
1, 0
1, 86
1, 0
1, 0
1, 112
1, 436
1, 0
1, 65
1, 0
1, 67
1, 0
1, 69
1, 0
1, 384
1, 0
1, 0
1, 0
1, 0
1, 366
1, 0
1, 0
1, 0
1, 0
1, 376
1, 0
1, 0
1, 0
1, 0
1, 367
1, 0
1, 0
1, 0
1, 0
1, 0
1, 130
1, 100
1, 181
1, 79
1, 188
1, 107
1, 195
1, 82
1, 65
1, 70
1, 176
1, 67
1, 70
1, 76
1, 94
1, 0
1, 79
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 1088
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 92
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 1140
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 99
1, 0
1, 0
1, 50
1, 0
1, 0
1, 0
1, 0
1, 101
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 101
1, 0
1, 0
1, 0
1, 154
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 102
1, 0
1, 57
1, 0
1, 86
1, 0
1, 287
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 94
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 74
1, 0
1, 0
1, 0
1, 0
1, 159
1, 0
1, 0
1, 0
1, 146
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 184
1, 89
1, 0
1, 0
1, 0
1, 0
1, 128
1, 0
1, 0
1, 0
1, 115
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 169
1, 91
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 118
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 117
1, 89
1, 0
1, 0
1, 0
1, 75
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 83
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 325
1, 0
1, 0
1, 0
1, 0
1, 0
1, 73
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 86
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 347
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
