Homolog, Bit Score
1, 161
1, 0
1, 247
1, 0
1, 242
1, 0
1, 248
1, 0
1, 178
1, 134
1, 39
1, 52
1, 53
1, 41
1, 75
1, 22
1, 44
1, 81
1, 38
1, 103
1, 55
1, 50
1, 88
1, 41
1, 79
1, 0
1, 53
1, 0
1, 43
1, 107
1, 63
1, 22
1, 25
1, 0
1, 61
1, 72
1, 25
1, 92
1, 28
1, 87
1, 57
1, 33
1, 79
1, 54
1, 76
1, 0
1, 47
1, 51
1, 43
1, 117
1, 193
1, 46
1, 52
1, 96
1, 0
1, 0
1, 559
1, 59
1, 0
1, 72
1, 62
1, 0
1, 64
1, 0
1, 0
1, 0
1, 0
1, 69
1, 54
1, 31
1, 45
1, 72
1, 78
1, 137
1, 132
1, 100
1, 126
1, 84
1, 0
1, 25
1, 0
1, 79
1, 0
1, 0
1, 0
1, 0
1, 0
1, 87
1, 0
1, 75
1, 37
1, 225
1, 0
1, 42
1, 36
1, 224
1, 27
1, 47
1, 0
1, 287
1, 516
1, 288
1, 510
1, 328
1, 524
1, 315
1, 538
1, 287
1, 518
1, 193
1, 530
1, 282
1, 457
1, 256
1, 488
1, 248
1, 395
1, 71
1, 49
1, 22
1, 26
1, 22
1, 20
1, 55
1, 0
1, 132
1, 278
1, 270
1, 299
1, 268
1, 304
1, 268
1, 144
1, 239
1, 0
1, 21
1, 262
1, 0
1, 18
1, 0
1, 286
1, 121
1, 24
1, 272
1, 16
1, 32
1, 100
1, 292
1, 18
1, 0
1, 278
1, 0
1, 20
1, 106
1, 306
1, 26
1, 0
1, 280
1, 0
1, 19
1, 95
1, 289
1, 26
1, 36
1, 285
1, 0
1, 19
1, 102
1, 308
1, 117
1, 0
1, 0
1, 0
1, 27
1, 48
1, 0
1, 0
1, 21
1, 0
1, 18
1, 48
1, 0
1, 0
1, 17
1, 0
1, 19
1, 436
1, 23
1, 0
1, 0
1, 0
1, 0
1, 0
1, 31
1, 384
1, 24
1, 56
1, 0
1, 28
1, 366
1, 30
1, 38
1, 0
1, 31
1, 376
1, 33
1, 45
1, 0
1, 28
1, 367
1, 30
1, 40
1, 0
1, 47
1, 53
1, 130
1, 96
1, 181
1, 74
1, 188
1, 107
1, 196
1, 76
1, 170
1, 70
1, 176
1, 65
1, 0
1, 71
1, 0
1, 0
1, 79
1, 0
1, 90
1, 28
1, 116
1, 29
1, 115
1, 0
1, 0
1, 17
1, 102
1, 0
1, 19
1, 15
1, 0
1, 18
1, 17
1, 0
1, 22
1, 23
1, 0
1, 1088
1, 19
1, 33
1, 22
1, 40
1, 46
1, 23
1, 17
1, 0
1, 20
1, 45
1, 0
1, 23
1, 82
1, 32
1, 1140
1, 92
1, 40
1, 18
1, 24
1, 0
1, 21
1, 59
1, 39
1, 54
1, 73
1, 0
1, 0
1, 50
1, 19
1, 27
1, 53
1, 32
1, 181
1, 53
1, 102
1, 24
1, 151
1, 15
1, 87
1, 18
1, 153
1, 41
1, 69
1, 18
1, 179
1, 51
1, 0
1, 24
1, 150
1, 0
1, 0
1, 0
1, 0
1, 0
1, 40
1, 92
1, 0
1, 87
1, 0
1, 65
1, 0
1, 287
1, 59
1, 0
1, 32
1, 123
1, 0
1, 0
1, 0
1, 94
1, 21
1, 0
1, 0
1, 0
1, 0
1, 0
1, 131
1, 74
1, 18
1, 77
1, 0
1, 0
1, 157
1, 17
1, 0
1, 0
1, 146
1, 23
1, 62
1, 37
1, 22
1, 0
1, 0
1, 184
1, 47
1, 0
1, 67
1, 0
1, 0
1, 127
1, 45
1, 47
1, 0
1, 95
1, 0
1, 57
1, 0
1, 0
1, 0
1, 0
1, 169
1, 91
1, 0
1, 23
1, 0
1, 0
1, 0
1, 0
1, 37
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 22
1, 0
1, 0
1, 81
1, 0
1, 0
1, 15
1, 55
1, 118
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 0
1, 112
1, 15
1, 54
1, 52
1, 54
1, 37
1, 24
1, 31
1, 49
1, 34
1, 0
1, 26
1, 89
1, 27
1, 83
1, 35
1, 70
1, 0
1, 0
1, 0
1, 32
1, 325
1, 0
1, 24
1, 23
1, 91
1, 51
1, 68
1, 23
1, 0
1, 18
1, 32
1, 32
1, 0
1, 30
1, 70
1, 23
1, 86
1, 39
1, 44
1, 0
1, 40
1, 0
1, 50
1, 346
1, 0
1, 38
1, 22
1, 18
1, 49
1, 53
1, 29
1, 34
1, 110
1, 0
1, 40
1, 35
1, 64
1, 36
1, 64
1, 87
1, 65
1, 81
1, 40
1, 22
1, 0
1, 52
1, 316
1, 51
1, 56
1, 21
1, 0
1, 24
1, 72
1, 44
1, 0
1, 96
1, 0
1, 35
1, 0
1, 30
1, 101
1, 60
1, 96
1, 25
1, 44
1, 0
1, 0
1, 0
1, 36
1, 28
1, 48
1, 45
1, 50
1, 52
1, 51
1, 67
1, 31
1, 0
1, 21
1, 49
1, 32
1, 0
1, 23
1, 101
1, 30
1, 83
1, 45
1, 74
1, 0
1, 31
1, 0
1, 51
1, 345
1, 0
1, 37
1, 22
1, 25
1, 50
1, 47
1, 0
1, 0
1, 109
1, 0
1, 38
1, 33
1, 66
1, 74
1, 68
1, 100
1, 63
1, 81
1, 39
1, 0
1, 0
1, 55
1, 314
1, 54
1, 54
1, 63
1, 0
1, 226
1, 356
1, 113
1, 352
1, 114
1, 348
1, 114
1, 378
1, 114
1, 0
1, 436
1, 559
1, 22
1, 472
1, 20
1, 490
1, 0
1, 255
1, 0
1, 454
1, 0
1, 352
1, 28
1, 442
1, 569
1, 18
1, 486
1, 21
1, 495
1, 0
1, 194
1, 18
1, 516
1, 0
1, 319
1, 0
1, 442
1, 589
1, 0
1, 487
1, 20
1, 489
1, 0
1, 190
1, 29
1, 463
1, 19
1, 368
1, 17
1, 478
1, 644
1, 20
1, 491
1, 23
1, 532
1, 0
1, 245
1, 24
1, 452
1, 0
1, 367
1, 30
1, 428
1, 518
1, 0
1, 489
1, 22
1, 515
1, 18
1, 191
1, 0
1, 503
1, 0
1, 98
1, 0
1, 465
1, 551
1, 21
1, 527
1, 24
1, 545
1, 0
1, 220
1, 48
1, 514
1, 0
1, 381
1, 20
1, 451
1, 518
1, 21
1, 473
1, 22
1, 535
1, 0
1, 20
1, 0
1, 513
1, 0
1, 341
1, 0
1, 429
1, 534
1, 0
1, 455
1, 0
1, 528
1, 0
1, 181
1, 18
1, 461
1, 0
1, 332
1, 0
1, 437
1, 520
1, 23
1, 463
1, 0
1, 504
1, 16
1, 236
1, 0
1, 447
1, 0
1, 369
1, 0
1, 456
1, 547
1, 22
1, 514
1, 28
1, 540
1, 0
1, 215
1, 46
1, 515
1, 21
1, 355
1, 23
1, 153
1, 0
1, 95
1, 0
1, 0
1, 19
1, 87
1, 0
1, 89
1, 0
1, 91
1, 0
1, 26
1, 269
1, 67
1, 0
1, 26
1, 0
1, 209
1, 268
1, 0
1, 301
1, 91
1, 44
1, 37
1, 0
1, 206
1, 169
1, 252
1, 104
1, 206
1, 263
1, 0
1, 290
1, 91
1, 156
1, 51
1, 0
1, 206
1, 177
1, 255
1, 113
1, 67
1, 23
1, 16
1, 523
1, 20
1, 475
1, 0
1, 398
1, 22
1, 23
1, 567
1, 0
1, 229
1, 0
1, 520
1, 0
1, 394
1, 33
1, 54
1, 49
1, 529
1, 0
1, 460
1, 0
1, 421
1, 20
1, 27
1, 583
1, 29
1, 223
1, 0
1, 552
1, 37
1, 451
1, 37
1, 47
1, 20
1, 709
1, 0
1, 353
1, 27
1, 330
1, 0
1, 34
1, 456
1, 22
1, 188
1, 36
1, 435
1, 0
1, 697
1, 0
1, 40
1, 50
1, 25
1, 163
1, 0
1, 114
1, 39
1, 160
1, 0
1, 115
1, 0
1, 164
1, 0
1, 112
1, 23
1, 159
1, 0
1, 117
1, 0
1, 33
1, 32
1, 35
1, 73
1, 36
1, 60
1, 55
1, 39
1, 95
1, 144
1, 45
1, 27
1, 27
1, 31
1, 86
1, 37
1, 59
1, 56
1, 35
1, 87
1, 136
1, 69
1, 0
1, 32
1, 38
1, 73
1, 70
1, 62
1, 55
1, 53
1, 95
1, 144
1, 52
1, 27
1, 27
1, 35
1, 86
1, 65
1, 57
1, 56
1, 32
1, 87
1, 135
1, 0
1, 265
1, 37
1, 65
1, 31
1, 263
1, 28
1, 296
1, 28
1, 69
1, 26
1, 44
1, 43
1, 37
1, 395
1, 28
1, 34
1, 28
1, 425
1, 22
1, 235
1, 35
1, 465
1, 0
1, 265
1, 30
1, 387
1, 26
1, 404
1, 21
1, 435
1, 26
1, 231
1, 39
1, 453
1, 0
1, 272
1, 50
1, 397
1, 29
1, 144
1, 23
1, 421
1, 24
1, 240
1, 31
1, 319
1, 33
1, 268
1, 34
1, 387
1, 23
1, 397
1, 23
1, 441
1, 23
1, 228
1, 37
1, 450
1, 25
1, 93
1, 54
1, 89
1, 0
1, 102
1, 72
1, 86
1, 0
1, 80
1, 0
1, 49
1, 0
1, 0
1, 0
1, 78
1, 0
1, 17
1, 0
1, 18
1, 0
1, 30
1, 0
1, 18
1, 0
1, 30
1, 36
1, 312
1, 22
1, 559
1, 0
1, 33
1, 20
1, 21
1, 20
1, 20
1, 18
1, 24
1, 0
1, 310
1, 17
1, 544
1, 0
1, 25
1, 20
1, 19
1, 23
1, 215
1, 0
1, 0
1, 574
1, 19
1, 92
1, 0
1, 25
1, 54
1, 29
1, 20
1, 37
1, 71
1, 0
1, 41
1, 55
1, 23
1, 104
1, 84
1, 32
1, 33
1, 90
1, 57
1, 50
1, 23
1, 23
1, 23
1, 28
1, 54
